Employment;Unemployment;Average price;Price min;Wage average;Wage max;Savings;Total debt;Total firm cash;Deficit;Total money;Wage normalizes;Relative dead count;Unemployment share;Consumption propensity;Consumption budget;Sum production
0.447409;0.552591;0.987976;0.900005;0.985045;1;7986.82;7994.44;7.6214;0;0;15673.2;0;0.514187;0.499454;7954.94;8053.36
0.447551;0.552449;0.987987;0.900005;0.985026;1;7978.74;7986.33;7.59025;0;0;15673.7;0;0.513981;0.499604;7954.74;8055.92
0.447628;0.552372;0.987875;0.900005;0.984954;1;7970.21;7977.74;7.53349;0;0;15637.1;0;0.513871;0.499687;7952.43;8057.31
0.447635;0.552365;0.987274;0.900005;0.984631;1;7973.52;7980.89;7.36345;0;0;15613.4;0;0.513873;0.499705;7947.2;8057.43
0.447735;0.552265;0.985693;0.900005;0.98376;1;7992.03;7999.14;7.11684;0;0;15497.2;0;0.514222;0.49952;7943.31;8059.24
0.448095;0.551905;0.984945;0.900005;0.983249;1;8008.7;8015.58;6.87904;0;0;15493.8;0;0.515108;0.498976;7945.01;8065.71
0.448446;0.551554;0.984728;0.900005;0.983038;1;8020.14;8026.78;6.63471;0;0;15474.8;0;0.515344;0.498877;7954;8072.04
0.448842;0.551158;0.984814;0.900005;0.982969;1;8023.67;8030.08;6.40433;0;0;15466.5;0;0.515271;0.499013;7965.1;8079.15
0.44924;0.55076;0.984984;0.900005;0.982984;1;8022.57;8028.76;6.18197;0;0;15463.3;0;0.514998;0.499246;7974.16;8086.33
0.449616;0.550384;0.985874;0.900005;0.983371;1;8030.39;8036.36;5.97109;0;0;15463.2;0;0.514632;0.499466;7982;8093.09
0.449998;0.550002;0.987032;0.900005;0.983596;1;8035.46;8041.23;5.77309;0;0;15474.1;0;0.514437;0.499934;7997.69;8099.97
0.450423;0.549577;0.98766;0.900005;0.98376;1;8034.06;8039.64;5.58379;0;0;15481.1;0;0.509632;0.500417;8012.38;8107.62
0.450865;0.549135;0.988168;0.900005;0.983909;1;8029.69;8035.1;5.41112;0;0;15485.3;0;0.50912;0.500588;8018.94;8115.57
0.451185;0.548815;0.988547;0.900005;0.984031;1;8024.28;8029.53;5.24404;0;0;15489;0;0.508606;0.500676;8021.5;8121.33
0.451379;0.548621;0.988789;0.900005;0.984076;1;8018.15;8023.24;5.08424;0;0;15492.1;0;0.508222;0.500694;8020.98;8124.82
0.451451;0.548549;0.988838;0.900005;0.984048;1;8010.85;8015.78;4.92834;0;0;15492.8;0;0.508026;0.500653;8017.78;8126.11
0.451408;0.548592;0.988729;0.900005;0.983936;1;8003.11;8007.88;4.77503;0;0;15491.3;0;0.508005;0.500542;8011.52;8125.35
0.451258;0.548742;0.987392;0.900005;0.983173;1;8015.68;8020.18;4.49502;0;0;15487.2;0;0.508168;0.50039;8000.77;8122.64
0.45134;0.54866;0.986352;0.900005;0.982514;1;8029.11;8033.37;4.25206;0;0;15458.7;0;0.509154;0.499771;7995.21;8124.12
0.451431;0.548569;0.98577;0.900005;0.982125;1;8039.8;8043.83;4.02938;0;0;15606.7;0;0.509801;0.499396;7995.13;8125.75
0.451543;0.548457;0.985419;0.900005;0.981876;1;8046.6;8050.43;3.82765;0;0;15592;0;0.510153;0.49928;7998.6;8127.77
0.451701;0.548299;0.985213;0.900005;0.981705;1;8048.37;8052.01;3.63888;0;0;15582.2;0;0.51034;0.499282;8002.72;8130.61
0.451867;0.548133;0.985236;0.900005;0.981638;1;8045.24;8048.7;3.45829;0;0;15575.5;0;0.510396;0.499342;8005.77;8133.61
0.451986;0.548014;0.985337;0.900005;0.981614;1;8038.59;8041.87;3.28529;0;0;15572.6;0;0.510327;0.499483;8007.41;8135.74
0.452048;0.547952;0.985408;0.900005;0.981595;1;8030.52;8033.64;3.11749;0;0;15571.3;0;0.510255;0.499628;8006.87;8136.86
0.452053;0.547947;0.985335;0.900005;0.981506;1;8021.1;8024.05;2.95432;0;0;15570.4;0;0.510227;0.499731;8004.18;8136.95
0.451995;0.548005;0.984593;0.900005;0.981053;1;8024.87;8027.61;2.74016;0;0;15567.1;0;0.510318;0.499755;7997.5;8135.91
0.452065;0.547935;0.983219;0.900005;0.980351;1;8039.24;8041.79;2.54775;0;0;15550.4;0;0.51087;0.499503;7993.12;8137.17
0.452318;0.547682;0.982468;0.900005;0.979867;1;8053.93;8056.31;2.382;0;0;15577.7;0;0.51158;0.499044;7993.21;8141.72
0.452591;0.547409;0.982106;0.900005;0.979616;1;8064.95;8067.17;2.22265;0;0;15559.8;0;0.511876;0.49893;8000.09;8146.64
0.452926;0.547074;0.982084;0.900005;0.979497;1;8068.77;8070.85;2.08152;0;0;15550.1;0;0.511912;0.498997;8009.13;8152.67
