Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
-0.00039052;-0.000176456;0;0;0;0
-0.000347707;6.27129e-05;0;0;0;0
-0.000265623;0.000361893;0;0;0;0
-0.00014012;0.000637569;0;0;0;0
1.5418e-05;0.000528105;0;0;0;0
0.000117955;0.000392347;0;0;0;0
0.000172834;0.000276973;0;0;0;0
0.000193662;0.000218666;0;0;0;0
0.000198663;0.00011334;0;0;0;0
0.000181598;-5.56822e-05;0;0;0;0
0.000134142;-0.000264885;0.00011301;0;-0.000112985;0
5.43368e-05;-0.000629855;0;2.26021e-05;0;-2.25969e-05
-8.25015e-05;-0.00112254;0;1.80816e-05;0;-1.80776e-05
-0.000290509;-0.000822652;0;1.44653e-05;0;-1.4462e-05
-0.000396938;-0.000480244;0;1.15723e-05;0;-1.15696e-05
-0.000413599;-0.000171547;0;9.2578e-06;0;-9.25571e-06
-0.000365189;8.29147e-05;0;7.40624e-06;0;-7.40457e-06
-0.000275568;0.000389522;0;5.92499e-06;0;-5.92365e-06
-0.00014255;0.000558998;0;4.73999e-06;0;-4.73892e-06
-2.24036e-06;0.000473295;0;3.792e-06;0;-3.79114e-06
9.28667e-05;0.00036506;0;3.0336e-06;0;-3.03291e-06
0.000147305;0.000311576;0;2.42688e-06;0;-2.42633e-06
0.000180159;0.00023324;0;1.9415e-06;0;-1.94106e-06
0.000190776;8.38559e-05;0;1.5532e-06;0;-1.55285e-06
0.000169392;3.94728e-05;0.000114544;1.24256e-06;-0.000114518;-1.24228e-06
0.000143408;-9.37447e-05;0.000111699;2.39029e-05;-0.000111674;-2.38975e-05
9.59774e-05;-0.000241896;0;4.14622e-05;0;-4.14528e-05
2.84027e-05;-0.0004561;0.000115853;3.31698e-05;-0.000115826;-3.31623e-05
-6.84978e-05;-0.00130963;0.000115264;4.97063e-05;-0.000115237;-4.9695e-05
-0.000316724;-0.000797423;0;6.28178e-05;0;-6.28034e-05
-0.000412864;-0.000427607;0.000112214;5.02542e-05;-0.000112189;-5.02427e-05
-0.000415812;-6.0547e-05;0.000117051;6.26462e-05;-0.000117024;-6.2632e-05
-0.000344759;0.000260566;0.000114328;7.35272e-05;-0.000114302;-7.35104e-05
-0.000223694;0.000525393;0.00011314;8.16874e-05;-0.000113115;-8.16687e-05
-7.38768e-05;0.000527566;0;8.7978e-05;0;-8.79579e-05
4.64117e-05;0.000503786;0;7.03824e-05;0;-7.03663e-05
0.000137887;0.000424915;0;5.63059e-05;0;-5.62931e-05
0.000195292;0.000296185;0;4.50448e-05;0;-4.50345e-05
0.000215471;0.000193874;0.000452509;3.60358e-05;-0.0004521;-3.60276e-05
0.000211151;2.94706e-05;0;0.00011933;0;-0.000119242
0.000174815;8.99154e-05;0.000115255;9.54644e-05;-0.000115229;-9.53936e-05
0.000157835;-0.00011086;0;9.94225e-05;0;-9.93606e-05
0.000104096;-0.000264638;0.000114172;7.9538e-05;-0.000114146;-7.94885e-05
3.03493e-05;-0.00123706;0.000224494;8.64648e-05;-0.000224393;-8.642e-05
-0.000223132;-0.00101151;0.000112104;0.000114071;-0.000112078;-0.000114015
-0.000380807;-0.000491352;0;0.000113677;0;-0.000113627
-0.000402916;-0.000246239;0.000114305;9.09418e-05;-0.000114279;-9.0902e-05
