Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
0.000208737;0.000232014;0;0;0;0
0.000213392;0.000161036;0;0;0;0
0.000202921;3.05243e-05;0;0;0;0
0.000168442;-0.000173815;0;0;0;0
9.99904e-05;-0.000323024;0;0;0;0
1.53875e-05;-0.00114825;0;0;0;0
-0.00021734;-0.000930814;0;0;0;0
-0.000360035;-0.000585198;0;0;0;0
-0.000405067;-0.000334808;0;0;0;0
-0.000391015;-8.49305e-05;0;0;0;0
-0.000329798;0.00024077;0;0;0;0
-0.000215685;0.000512863;0;0;0;0
-6.99753e-05;0.000565936;0;0;0;0
5.72069e-05;0.000461242;0.00011184;0;-0.000111815;0
0.000138014;0.00034293;0;2.23679e-05;0;-2.23629e-05
0.000178997;0.00035781;0;1.78943e-05;0;-1.78903e-05
0.00021476;0.000269287;0.000115937;1.43155e-05;-0.00011591;-1.43123e-05
0.000225665;0.000128992;0;3.46397e-05;0;-3.46318e-05
0.00020633;5.80825e-05;0.000112284;2.77118e-05;-0.000112259;-2.77054e-05
0.000176681;-0.000114886;0.000347376;4.46262e-05;-0.000347135;-4.46161e-05
0.000118367;-0.000240087;0;0.000105176;0;-0.00010512
4.66765e-05;-0.000297436;0;8.4141e-05;0;-8.40959e-05
-2.2146e-05;-0.00131253;0;6.73128e-05;0;-6.72767e-05
-0.000280223;-0.000937947;0;5.38502e-05;0;-5.38214e-05
-0.000411768;-0.000519231;0.000111017;4.30802e-05;-0.000110992;-4.30571e-05
-0.000433261;-0.000246505;0;5.66675e-05;0;-5.66441e-05
-0.000395909;0.000120817;0.000230453;4.5334e-05;-0.000230347;-4.53153e-05
-0.000292564;0.00038979;0;8.23579e-05;0;-8.23217e-05
-0.000156093;0.000646012;0;6.58863e-05;0;-6.58573e-05
4.32767e-06;0.000473958;0;5.2709e-05;0;-5.26859e-05
9.82537e-05;0.000404318;0;4.21672e-05;0;-4.21487e-05
0.000159467;0.000336118;0.000114002;3.37338e-05;-0.000113976;-3.37189e-05
0.000194797;0.000252095;0.000109857;4.97875e-05;-0.000109833;-4.97704e-05
0.000206257;0.00016829;0;6.18014e-05;0;-6.17829e-05
0.000198663;5.86233e-05;0.000111548;4.94411e-05;-0.000111523;-4.94263e-05
0.000170655;-0.00016;0;6.18625e-05;0;-6.18457e-05
0.000104524;-0.000281549;0.00011565;4.949e-05;-0.000115623;-4.94765e-05
2.73096e-05;-0.00115878;0;6.2722e-05;0;-6.27059e-05
-0.000209909;-0.000961978;0.000112977;5.01776e-05;-0.000112952;-5.01647e-05
-0.000360323;-0.000590671;0;6.27375e-05;0;-6.27221e-05
-0.000406393;-0.000256184;0;5.019e-05;0;-5.01777e-05
-0.000376351;-4.71269e-05;0.000113087;4.0152e-05;-0.000113062;-4.01421e-05
-0.000310506;0.000231883;0;5.4739e-05;0;-5.4726e-05
-0.000202028;0.000522628;0.000227856;4.37912e-05;-0.000227752;-4.37808e-05
-5.70971e-05;0.000479007;0;8.06042e-05;0;-8.05751e-05
5.01237e-05;0.000491961;0;6.44834e-05;0;-6.44601e-05
0.000138491;0.0004019;0.000113327;5.15867e-05;-0.000113301;-5.15681e-05
0.000191173;0.000260994;0;6.39348e-05;0;-6.39148e-05
0.000205137;0.000196302;0;5.11478e-05;0;-5.11318e-05
0.00020337;2.50073e-05;0;4.09183e-05;0;-4.09054e-05
0.000167698;-0.000194569;0.00022669;3.27346e-05;-0.000226588;-3.27244e-05
9.52443e-05;-0.000343325;0;7.15258e-05;0;-7.1497e-05
7.53041e-06;-0.00091996;0;5.72206e-05;0;-5.71976e-05
-0.000177968;-0.00108861;0.000115174;4.57765e-05;-0.000115147;-4.57581e-05
-0.000360096;-0.00057649;0.000335555;5.9656e-05;-0.00033533;-5.96359e-05
-0.000403375;-0.00032753;0.000111193;0.000114836;-0.000111168;-0.000114775
-0.000388206;1.86942e-05;0.00022572;0.000114107;-0.000225618;-0.000114053
-0.000306826;0.000288528;0.000302137;0.00013643;-0.000301955;-0.000136366
-0.000187755;0.000560699;0.000270462;0.000169571;-0.000270315;-0.000169484
-3.80643e-05;0.000515006;0;0.000189749;0;-0.00018965
7.25498e-05;0.000521697;0.000224292;0.000151799;-0.000224191;-0.00015172
0.000162379;0.000359596;0;0.000166298;0;-0.000166214
0.000201822;0.000279478;0.000111382;0.000133038;-0.000111357;-0.000132972
0.000217354;9.03074e-05;4.57554e-05;0.000128707;-4.57512e-05;-0.000128649
0.000191944;-6.44004e-05;0.000117858;0.000112117;-0.00011783;-0.000112069
0.000140675;-0.000271388;0.000106616;0.000113265;-0.000106593;-0.000113221
5.82628e-05;-0.000569929;8.98912e-05;0.000111935;-8.9875e-05;-0.000111896
-6.73756e-05;-0.00128558;0.000136689;0.000107526;-0.000136652;-0.000107492
-0.000311016;-0.000790922;0.000247756;0.000113359;-0.000247633;-0.000113324
-0.000406998;-0.000410044;0.000355273;0.000140238;-0.00035502;-0.000140186
-0.000407607;-0.000128506;0.000455692;0.000183245;-0.000455277;-0.000183153
-0.000351787;0.000165926;0.000451526;0.000237735;-0.000451119;-0.000237577
-0.000248244;0.000490493;0.000442245;0.000280493;-0.000441854;-0.000280286
-0.000100497;0.000573171;0.000407734;0.000312843;-0.000407402;-0.000312599
3.42367e-05;0.000499053;0.000403245;0.000331822;-0.00040292;-0.00033156
0.0001272;0.000451398;0.000503673;0.000346106;-0.000503166;-0.000345832
0.00019204;0.000358245;0.000484702;0.00037762;-0.000484232;-0.000377299
0.000225281;0.000304668;0.00046664;0.000399036;-0.000466205;-0.000398685
0.000241158;0.000219685;0;0.000412557;0;-0.000412189
0.000236864;0.000169286;0;0.000330045;0;-0.000329752
0.000223348;-0.000168504;0;0.000264036;0;-0.000263801
0.000144978;-0.000417214;0.000112067;0.000211229;-0.000112042;-0.000211041
3.25393e-05;-0.00120799;0;0.000191397;0;-0.000191241
-0.000215566;-0.000907102;0.000111903;0.000153117;-0.000111878;-0.000152993
-0.000353873;-0.000628047;0.000110812;0.000144874;-0.000110788;-0.00014477
-0.000408708;-0.000464218;0;0.000138062;0;-0.000137973
-0.00041981;-0.000274131;0;0.00011045;0;-0.000110379
-0.000390674;-1.56903e-05;0.000112185;8.83596e-05;-0.00011216;-8.8303e-05
-0.000315677;0.000262394;9.83416e-05;9.31248e-05;-9.83223e-05;-9.30744e-05
-0.000200063;0.00045349;0;9.41681e-05;0;-9.4124e-05
-6.93526e-05;0.000477136;0;7.53345e-05;0;-7.52992e-05
3.9945e-05;0.000377948;0;6.02676e-05;0;-6.02393e-05
0.000107546;0.000313059;0.000110181;4.82141e-05;-0.000110157;-4.81915e-05
0.000148648;0.000217326;0.000110075;6.06075e-05;-0.000110051;-6.05845e-05
0.000162384;0.000112346;7.95361e-05;7.05009e-05;-7.95235e-05;-7.04777e-05
0.000152376;2.21436e-05;0;7.2308e-05;0;-7.22869e-05
0.00012633;-0.000127022;0;5.78464e-05;0;-5.78295e-05
7.56594e-05;-0.000289685;0;4.62771e-05;0;-4.62636e-05
2.59053e-06;-0.00123034;0;3.70217e-05;0;-3.70109e-05
-0.000243996;-0.00100073;0;2.96173e-05;0;-2.96087e-05
-0.000395343;-0.000562349;0;2.36939e-05;0;-2.3687e-05
-0.000428744;-0.000322652;0;1.89551e-05;0;-1.89496e-05
-0.000407526;-3.33591e-05;0;1.51641e-05;0;-1.51597e-05
-0.000332692;0.000239508;0;1.21313e-05;0;-1.21277e-05
